Id,Label,terminalName,name,lat,lon,installed,locked,temporary
65,Boston Convention & Exhibition Center,D32018,Boston Convention & Exhibition Center,42.3475,-71.0441,TRUE,FALSE,FALSE
81,Boylston St / Washington St,D32019,Boylston St / Washington St,42.352409,-71.062679,TRUE,FALSE,FALSE
94,Charlestown - Main St at Austin St,D32020,Charlestown - Main St at Austin St,42.375603,-71.064608,TRUE,FALSE,FALSE
98,Charlestown - Warren St at Chelsea St,D32021,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,TRUE,FALSE,FALSE
69,Coolidge Corner - Beacon St @ Centre St,K32001,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,TRUE,FALSE,FALSE
82,Brookline Town Hall / Library Washington St,K32002,Brookline Town Hall / Library Washington St,42.333689,-71.120526,TRUE,FALSE,FALSE
86,Brookline Village - Station Street @ MBTA,K32003,Brookline Village - Station Street @ MBTA,42.332799,-71.116205,TRUE,FALSE,FALSE
90,Lechmere Station at Cambridge St / First St,M32001,Lechmere Station at Cambridge St / First St,42.3707,-71.07711,TRUE,FALSE,FALSE
91,One Kendall Square at Hampshire St / Portland St,M32002,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,TRUE,FALSE,FALSE
72,One Broadway / Kendall Sq at Main St / 3rd St,M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,TRUE,FALSE,FALSE
80,MIT Stata Center at Vassar St / Main St,M32005,MIT Stata Center at Vassar St / Main St,42.362429,-71.090188,TRUE,FALSE,FALSE
67,MIT at Mass Ave / Amherst St,M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,TRUE,FALSE,FALSE
95,Cambridge St - at Columbia St / Webster Ave,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,TRUE,FALSE,FALSE
75,Lafayette Square at Mass Ave / Main St / Columbia St,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.363562,-71.10042,TRUE,FALSE,FALSE
88,Inman Square at Vellucci Plaza / Hampshire St,M32010,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,TRUE,FALSE,FALSE
68,Central Square at Mass Ave / Essex St,M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,TRUE,FALSE,FALSE
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,TRUE,FALSE,FALSE
96,Cambridge Main Library at Broadway / Trowbridge St,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,TRUE,FALSE,FALSE
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,TRUE,FALSE,FALSE
97,Harvard  University River Houses at DeWolfe St / Cowperthwaite St,M32015,Harvard  University River Houses at DeWolfe St / Cowperthwaite St,42.369182,-71.117152,TRUE,FALSE,FALSE
70,Harvard Kennedy School at Bennett St / Eliot St,M32016,Harvard Kennedy School at Bennett St / Eliot St,42.372244,-71.121851,TRUE,FALSE,FALSE
73,Harvard Square at Brattle St / Eliot St,M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,TRUE,FALSE,FALSE
74,Harvard Square at Mass Ave/ Dunster,M32018,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,TRUE,FALSE,FALSE
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,TRUE,FALSE,FALSE
89,Harvard Law School at Mass Ave / Jarvis St,M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,TRUE,FALSE,FALSE
77,Somerville City Hall,S32001,Somerville City Hall,42.386428,-71.096413,TRUE,FALSE,FALSE
78,Union Square - Somerville,S32002,Union Square - Somerville,42.379637,-71.095319,TRUE,FALSE,FALSE
79,Beacon St at Washington / Kirkland,S32003,Beacon St at Washington / Kirkland,42.378551,-71.106541,TRUE,FALSE,FALSE
71,Conway Park - Somerville Avenue,S32004,Conway Park - Somerville Avenue,42.383405,-71.107593,TRUE,FALSE,FALSE
